2023-02-15 15:51:09.418 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:51:09.418 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:51:27.900 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:51:27.900 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:52:13.573 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:52:13.574 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:52:40.666 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:52:40.666 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:53:19.696 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:53:19.696 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:54:26.824 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:54:26.824 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:56:28.905 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:56:28.906 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:57:30.843 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:57:30.843 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 15:58:08.819 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 15:58:08.819 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 16:00:21.139 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 16:00:21.139 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 16:00:40.088 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 16:00:40.088 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 16:01:01.183 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 16:01:01.184 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 16:01:27.380 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 16:01:27.380 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-02-15 16:03:42.430 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:51 - 开始从NeuroScanEEG接收脑电数据
2023-02-15 16:03:42.430 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
